genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure
Achimenes,Achimenes antirrhina,Achimenes flava,no,no,NA,52.83,74.05,10.84,12.05,NA,NA,0.6943,fruit set
Achimenes,Achimenes antirrhina,Achimenes patens,no,no,NA,52.83,72.85,15.11,48.1,NA,NA,0.3307,fruit set
Achimenes,Achimenes flava,Achimenes patens,no,no,Achimenes,219.78,69,107,187.41,NA,NA,-0.0097,seed set
Adenocalymma,Adenocalymma nodosum,Adenocalymma peregrinum,no,no,Adenocalymma,0.26208,0.12096,0.20482,0.108528,NA,NA,0.1001,seed set
Anacyclus,Anacyclus clavatus,Anacyclus homogamos,no,no,Anacyclus,0.88,0.88,0.89,0.92,NA,NA,-0.014,seed set
Antirrhinum,Antirrhinum pulverulentum,Antirrhinum majus,no,no,Antirrhinum,75.74,65.13,35.94,30.91,NA,NA,0.3563,seed set
Antirrhinum,Antirrhinum valentinum,Antirrhinum controversum,no,no,NA,77.85,69.6,77.1,21.02,NA,NA,0.2009,seed set
Aquilegia,Aquilegia canadensis,Aquilegia caerulea,no,no,Aquilegia01,72.25,68.4,NA,62.3,NA,NA,0.0605,seed set
Aquilegia,Aquilegia canadensis,Aquilegia flabellata,no,no,NA,72.25,77.5,48.4,49.6,NA,NA,0.2089,seed set
Aquilegia,Aquilegia canadensis,Aquilegia japonica,no,no,NA,72.25,69.8,54.3,NA,NA,NA,0.1335,seed set
Aquilegia,Aquilegia canadensis,Aquilegia longissima,no,no,NA,72.25,65.7,67.7,62.3,NA,NA,0.0297,seed set
Aquilegia,Aquilegia canadensis,Aquilegia pubescens,no,no,NA,72.25,59.2,68.4,NA,NA,NA,-0.0199,seed set
Aquilegia,Aquilegia chrysantha,Aquilegia canadensis,no,no,NA,51.4,72.25,67.4,NA,NA,NA,-0.0431,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia vulgaris,no,no,Aquilegia02,71.4,75.6,68.5,63.1,NA,NA,0.0553,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia alpina,no,no,NA,71.4,72.5,52.3,57,NA,NA,0.1367,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia baikalensis,no,no,NA,71.4,68.8,42.1,57.7,NA,NA,0.1683,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia canadensis,no,no,NA,71.4,72.25,34.05,34.15,NA,NA,0.3561,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia chaplinei,no,no,NA,71.4,62.2,NA,12.3,NA,NA,0.689,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia chrysantha,no,no,NA,71.4,51.4,28.1,1.3,NA,NA,0.6137,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia elegantula,no,no,NA,71.4,62.6,37.3,NA,NA,NA,0.2848,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia flabellata,no,no,NA,71.4,77.5,50.8,60.6,NA,NA,0.1441,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia formosa,no,no,NA,71.4,59.8,30.5,24.9,NA,NA,0.4062,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia japonica,no,no,NA,71.4,69.8,60,52.6,NA,NA,0.1127,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia longissima,no,no,NA,71.4,65.7,26.5,23.4,NA,NA,0.4663,seed set
Aquilegia,Aquilegia ecalcarata,Aquilegia pubescens,no,no,NA,71.4,59.2,NA,3.4,NA,NA,0.901,seed set
Aquilegia,Aquilegia elegantula,Aquilegia flabellata,no,no,Aquilegia03,62.6,77.5,44.5,42.2,NA,NA,0.2354,seed set
Aquilegia,Aquilegia flabellata,Aquilegia chrysantha,no,no,NA,77.5,51.4,38.4,38.5,NA,NA,0.2527,seed set
Aquilegia,Aquilegia flabellata,Aquilegia longissima,no,no,NA,77.5,65.7,35.5,NA,NA,NA,0.3371,seed set
Aquilegia,Aquilegia japonica,Aquilegia formosa,no,no,NA,69.8,59.8,44.3,41.4,NA,NA,0.2039,seed set
Aquilegia,Aquilegia longissima,Aquilegia vulgaris,no,no,NA,65.7,75.6,35,NA,NA,NA,0.3374,seed set
Aquilegia,Aquilegia vulgaris,Aquilegia canadensis,no,no,NA,75.6,72.25,58,NA,NA,NA,0.1207,seed set
Aquilegia,Aquilegia vulgaris,Aquilegia chrysantha,no,no,NA,75.6,51.4,25.7,NA,NA,NA,0.4238,seed set
Aquilegia,Aquilegia vulgaris,Aquilegia elegantula,no,no,NA,75.6,62.6,47.8,NA,NA,NA,0.1822,seed set
Aquilegia,Aquilegia vulgaris,Aquilegia formosa,no,no,NA,75.6,59.8,14.8,NA,NA,NA,0.6412,seed set
Arenaria,Arenaria uniflora,Arenaria glabra,no,no,Arenaria,16.2,NA,2.8,NA,NA,NA,0.7053,seed set
Arisaema,Arisaema bockii,Arisaema lobatum,no,no,Arisaema,49.82,37.61,20.93,29.83,NA,NA,0.2654,seed set
Arisaema,Arisaema bockii,Arisaema erubescens,no,no,NA,49.82,42.76,NA,30.13,NA,NA,0.2115,seed set
Arisaema,Arisaema lobatum,Arisaema erubescens,no,no,NA,37.61,42.76,26.54,48.72,NA,NA,0.0328,seed set
Arnebia,Arnebia guttata,Arnebia szechenyi,no,no,Arnebia,NA,NA,0,0,NA,NA,1,seed set
Asclepias,Asclepias perennis,Asclepias incarnata,no,no,Asclepias,486.54,NA,0,0,NA,NA,1,seed set
Asclepias,Asclepias perennis,Asclepias curassavica,no,no,NA,486.54,NA,0,0,NA,NA,1,seed set
Asclepias,Asclepias perennis,Asclepias texana,no,no,NA,486.54,,1091.4,544.5,NA,NA,-0.2541,seed set
Asclepias,Asclepias texana,Asclepias incarnata,no,no,NA,776.25,NA,0,0,NA,NA,1,seed set
Bidens,Bidens carpodonta,Bidens longistyla,no,no,Bidens,100,100,0,0,NA,NA,1,seed set
Bidens,Bidens ferulifolia,Bidens carpodonta,no,no,NA,100,100,0,0,NA,NA,1,seed set
Bidens,Bidens ferulifolia,Bidens longistyla,no,no,NA,100,100,0,0,NA,NA,1,seed set
Boechera,Boechera stricta,Boechera retrofracta,no,no,Boechera,4.6,1.4,8.6,0.15,NA,NA,-0.1864,seed set
Buddleja,Buddleja crispa,Buddleja officinalis,no,no,Buddleja,22.27,59.15,5.44,0,NA,NA,0.8747,seed number per fruit
Caiophora,Caiophora carduifolia,Caiophora chuquitensis,no,no,Caiophora,0.4,0.8,NA,0.8,NA,NA,-0.1429,fruit set
Caiophora,Caiophora carduifolia,Caiophora canarinoides,no,no,NA,0.4,0.8,0.4,0.75,NA,NA,0.0213,fruit set
Caiophora,Caiophora carduifolia,Caiophora cirsiifolia,no,no,NA,0.4,0.942857143,0.45,0.866666667,NA,NA,0.0098,fruit set
Caiophora,Caiophora carduifolia,Caiophora deserticola,no,no,NA,0.4,0.4,NA,0.8,NA,NA,-0.3333,fruit set
Caiophora,Caiophora carduifolia,Caiophora madrequisa,no,no,NA,0.4,0.5,NA,1,NA,NA,-0.3793,fruit set
Caiophora,Caiophora carduifolia,Caiophora pentlandii,no,no,NA,0.4,0.8,NA,1,NA,NA,-0.25,fruit set
Caiophora,Caiophora chuquitensis,Caiophora cirsiifolia,no,no,NA,0.8,0.942857143,1,1,NA,NA,-0.0687,fruit set
Caiophora,Caiophora cirsiifolia,Caiophora canarinoides,no,no,NA,0.942857143,0.8,1,0.75,NA,NA,-0.002,fruit set
Caiophora,Caiophora cirsiifolia,Caiophora madrequisa,no,no,NA,0.942857143,0.5,1,0.3333333,NA,NA,0.0395,fruit set
Caiophora,Caiophora cirsiifolia,Caiophora pentlandii,no,no,NA,0.942857143,0.8,1,0.8,NA,NA,-0.0161,fruit set
Caiophora,Caiophora deserticola,Caiophora canarinoides,no,no,NA,0.4,0.8,0.2,0.8,NA,NA,0.0909,fruit set
Caiophora,Caiophora deserticola,Caiophora chuquitensis,no,no,NA,0.4,0.8,0.4,1,NA,NA,-0.0769,fruit set
Caiophora,Caiophora deserticola,Caiophora cirsiifolia,no,no,NA,0.4,0.942857143,0.666666667,0.866666667,NA,NA,-0.0662,fruit set
Caiophora,Caiophora deserticola,Caiophora madrequisa,no,no,NA,0.4,0.5,0.6,0.2,NA,NA,0.0588,fruit set
Caiophora,Caiophora deserticola,Caiophora pentlandii,no,no,NA,0.4,0.8,0,0.8,NA,NA,0.2,fruit set
Cakile,Cakile maritima,Cakile edentula,no,no,Cakile,0.75,0.67,0.85,0.68,NA,NA,-0.0373,seed set
Calceolaria,Calceolaria arachnoidea,Calceolaria filicaulis,no,no,Calceolaria,303.35,453.62,25.97,117.75,NA,NA,0.6809,seed number per fruit
Calendula,Calendula palaestina,Calendula pachysperma,no,no,Calendula,2.8,7,2.3,2.4,NA,NA,0.3517,seed set
Casuarina,Casuarina equisetifolia,Casuarina cristata,no,no,Casuarina,NA,0.028,0.19033099,0,NA,NA,-0.5453,seed set
Casuarina,Casuarina equisetifolia,Casuarina junghuhniana,no,no,NA,NA,0.18075496,0.23552041,0.05973767,NA,NA,0.1009,seed set
Casuarina,Casuarina junghuhniana,Casuarina cristata,no,no,NA,0.18075496,0.028,0.06722352,0,NA,NA,0.5128,seed set
Cattleya,Cattleya sincorana,Cattleya pfisteri,no,no,Cattleya,0.3784,0.441,0.06916,0.253708,NA,NA,0.4347,seed set
Centaurium,Centaurium erythraea,Centaurium pulchellum,no,no,Centaurium,0.867,0.89,0.349,0.404,NA,NA,0.4,seed set
Centaurium,Centaurium erythraea,Centaurium littorale,yes2,no,NA,0.867,0.845,0.48,0.8,NA,NA,0.1444,seed set
Centaurium,Centaurium erythraea,Centaurium littorale,yes2,no,NA,NA,NA,NA,NA,0.56,0.34,0.1,pollen competition
Centaurium,Centaurium littorale,Centaurium pulchellum,no,no,NA,0.845,0.89,0.725,0.297,NA,NA,0.2586,seed set
Chamaecrista,Chamaecrista blanchetii,Chamaecrista confertiformis,no,no,NA,2.128,0.625,0.2057,0.039,NA,NA,0.8367,seed set
Chamaecrista,Chamaecrista chapadae,Chamaecrista glaucofilix,no,no,Chamaecrista,0.3572,2.2752,0.0805,0,NA,NA,0.9407,seed set
Chamaecrista,Chamaecrista chapadae,Chamaecrista blanchetii,no,no,NA,0.3572,2.128,0,0,NA,NA,1,seed set
Chamaecrista,Chamaecrista chapadae,Chamaecrista confertiformis,no,no,NA,0.3572,0.625,0,0,NA,NA,1,seed set
Chamaecrista,Chamaecrista glaucofilix,Chamaecrista blanchetii,no,no,NA,2.2752,2.128,0,0,NA,NA,1,seed set
Chamaecrista,Chamaecrista glaucofilix,Chamaecrista confertiformis,no,no,NA,2.2752,0.625,0,0,NA,NA,1,seed set
Chiloglottis,Chiloglottis valida,Chiloglottis jeanesii,no,no,Chiloglottis,71.7,84.2,82.1,88.3,NA,NA,-0.0444,seed set
Clarkia,Clarkia borealis,Clarkia mildrediae,no,no,Clarkia01,79.2,100,91.7,66.3,NA,NA,0.0629,seed set
Clarkia,Clarkia borealis,Clarkia australis,no,no,NA,79.2,91.3,69.2,41,NA,NA,0.2148,seed set
Clarkia,Clarkia borealis,Clarkia mosquinii,no,no,NA,79.2,100,11.3,32.5,NA,NA,0.6072,seed set
Clarkia,Clarkia borealis,Clarkia virgata,no,no,NA,79.2,74.2,7.83,4.11,NA,NA,0.8556,seed set
Clarkia,Clarkia mildrediae,Clarkia australis,no,no,NA,100,91.3,40,57.5,NA,NA,0.3248,seed set
Clarkia,Clarkia mildrediae,Clarkia mosquinii,no,no,NA,100,100,0,30,NA,NA,0.7391,seed set
Clarkia,Clarkia mildrediae,Clarkia virgata,no,no,NA,100,74.2,0,2.86,NA,NA,0.9677,seed set
Clarkia,Clarkia mosquinii,Clarkia australis,no,no,NA,100,91.3,47.5,60,NA,NA,0.2805,seed set
Clarkia,Clarkia mosquinii,Clarkia virgata,no,no,NA,100,74.2,47.9,55.7,NA,NA,0.2541,seed set
Clarkia,Clarkia tembloriensis,Clarkia exilis,no,no,Clarkia02,39.85,37,43.2,47,NA,NA,-0.0799,seed set
Clarkia,Clarkia tembloriensis,Clarkia unguiculata,no,no,NA,39.85,58.4,0.9,12.5,NA,NA,0.76,seed set
Clarkia,Clarkia unguiculata,Clarkia exilis,no,no,NA,58.4,37,7.9,2.4,NA,NA,0.8051,seed set
Clarkia,Clarkia virgata,Clarkia australis,no,no,Clarkia03,74.2,91.3,11.9,11.8,NA,NA,0.7495,seed set
Corymbia,Corymbia torelliana,Corymbia citriodora,yes1,yes,Corymbia,22.875,NA,14.3,NA,NA,NA,0.2307,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia citriodora,yes1,no,Corymbia,36.9,6.6,19.5,5,NA,NA,0.2794,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia clarksoniana,no,no,NA,22.875,NA,9.1,NA,NA,NA,0.4308,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia dallachiana,no,no,NA,22.875,NA,3.7,NA,NA,NA,0.7215,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia erythrophloia,no,no,NA,22.875,NA,10.8,NA,NA,NA,0.3586,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia ficifolia,no,no,NA,22.875,NA,0.7,NA,NA,NA,0.9406,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia intermedia,no,no,NA,22.875,NA,8.2,NA,NA,NA,0.4722,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia maculata,no,no,NA,22.875,NA,6.85,NA,NA,NA,0.5391,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia ptychocarpa,no,no,NA,22.875,NA,2.2,NA,NA,NA,0.8245,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia tessellaris,no,no,NA,22.875,NA,5.55,NA,NA,NA,0.6095,seed number per fruit
Corymbia,Corymbia torelliana,Corymbia trachyphloia,no,no,NA,22.875,NA,1,NA,NA,NA,0.9162,seed number per fruit
Costus,Costus allenii,Costus guanaiensis,no,no,NA,50.4,109.8,26.6,35.3,NA,NA,0.4426,seed number per fruit
Costus,Costus allenii,Costus laevis,no,no,NA,50.4,53.4,2.9,0.8,NA,NA,0.9312,seed number per fruit
Costus,Costus allenii,Costus pulverulentus,no,no,NA,38.7,NA,14.4,NA,NA,NA,0.4576,seed number per fruit
Costus,Costus allenii,Costus scaber,no,no,NA,38.7,NA,1.75,NA,NA,NA,0.9135,seed number per fruit
Costus,Costus allenii,Costus villosissimus,no,no,NA,29.6,30.6,22.7,21.8,NA,NA,0.15,seed number per fruit
Costus,Costus bracteatus,Costus lasius,no,no,Costus01,22.7,8.2,1.41,2.2,NA,NA,0.7908,seed number per fruit
Costus,Costus elegans,Costus scaber,no,no,NA,32.3,NA,0.2,NA,NA,NA,0.9877,seed number per fruit
Costus,Costus elegans,Costus pulverulentus,no,no,NA,32.3,27.2,3.9,6,NA,NA,0.7147,seed number per fruit
Costus,Costus guanaiensis,Costus villosissimus,no,no,Costus02,73.2,57.2,43.4,41.4,NA,NA,0.2119,seed number per fruit
Costus,Costus guanaiensis,Costus laevis,no,no,NA,109.8,53.4,55.3,2.4,NA,NA,0.4776,seed number per fruit
Costus,Costus laevis,Costus elegans,no,no,NA,80.2,32.3,4.7,9.5,NA,NA,0.7758,seed number per fruit
Costus,Costus laevis,Costus pulverulentus,no,no,NA,6.7,NA,4.9,NA,NA,NA,0.1552,seed number per fruit
Costus,Costus laevis,Costus scaber,no,no,NA,6.7,NA,2.17,NA,NA,NA,0.5107,seed number per fruit
Costus,Costus pulverulentus,Costus scaber,no,no,NA,19.79,7.02,0.49,1.45,NA,NA,0.865,seed set
Costus,Costus scaber,Costus woodsonii,no,no,Costus03,6.1,8.8,6.5,2.1,NA,NA,0.2681,seed number per fruit
Costus,Costus scaber,Costus lasius,no,no,NA,12.8,NA,12.2,NA,NA,NA,0.024,seed number per fruit
Cyrtandra,Cyrtandra kauaiensis,Cyrtandra longifolia,no,no,Cyrtandra,56,32.2,48.7,20.8,NA,NA,0.1186,fruit set
Cyrtandra,Cyrtandra paludosa,Cyrtandra platyphylla,no,no,NA,47.3,15.6,39.7,22.3,NA,NA,0.0072,fruit set
Dactylorhiza,Dactylorhiza maculata,Dactylorhiza incarnata,no,no,Dactylorhiza,58.31,49.42,43.44,35.23,NA,NA,0.1559,seed set
Dendrobium,Dendrobium farmeri,Dendrobium secundum,no,no,NA,0.95,0.403529412,0,NA,NA,NA,1,seed set
Dendrobium,Dendrobium linguella,Dendrobium aphyllum,no,no,NA,0.98,0.211111111,0,NA,NA,NA,1,seed set
Dendrobium,Dendrobium linguella,Dendrobium farmeri,no,no,NA,0.98,0.95,0.024,NA,NA,NA,0.9515,seed set
Dendrobium,Dendrobium linguella,Dendrobium secundum,no,no,NA,0.98,0.403529412,0,NA,NA,NA,1,seed set
Dendrobium,Dendrobium secundum,Dendrobium aphyllum,no,no,Dendrobium,0.403529412,0.211111111,0,NA,NA,NA,1,seed set
Dendrobium,Dendrobium secundum,Dendrobium chrysotoxum,no,no,NA,0.403529412,0.88,0,NA,NA,NA,1,seed set
Dianthus,Dianthus carthusianorum,Dianthus sylvestris,no,no,Dianthus,34.8384,27.5035,30.465,38.4588,NA,NA,-0.0501,seed set
Diplacus,Diplacus brevipes,Diplacus fremontii,no,no,NA,0.86877,0.340054,0.5617,0.022368,NA,NA,0.3485,seed set
Diplacus,Diplacus johnstonii,Diplacus brevipes,no,no,Diplacus,0.39146,0.86877,0,0,NA,NA,1,seed set
Diplacus,Diplacus johnstonii,Diplacus fremontii,no,no,NA,0.39146,0.340054,0,0.007425,NA,NA,0.9799,seed set
Elymus,Elymus tenuispicus,Elymus pendulinus,no,no,Elymus,91,93,NA,1.1,NA,NA,0.9764,seed set
Elymus,Elymus tenuispicus,Elymus ciliaris,no,no,NA,91,92,NA,0,NA,NA,1,seed set
Epidendrum,Epidendrum calanthum,Epidendrum cochlidium,no,no,NA,91.5,97.6,90.9,59.6,NA,NA,0.1137,fruit set
Epidendrum,Epidendrum calanthum,Epidendrum schistochilum,no,no,NA,91.5,96.5,75.9,93.4,NA,NA,0.0523,fruit set
Epidendrum,Epidendrum cochlidium,Epidendrum schistochilum,no,no,NA,97.6,96.5,54.8,92.2,NA,NA,0.1381,fruit set
Epidendrum,Epidendrum denticulatum,Epidendrum orchidiflorum,no,no,NA,16.7,20,13.5,13.9,NA,NA,0.1451,fruit set
Epidendrum,Epidendrum madsenii,Epidendrum rhopalostele,no,no,NA,0.90133333,0.7765,0.6105,0.907,NA,NA,0.0502,fruit set
Epidendrum,Epidendrum secundum,Epidendrum xanthinum,no,no,Epidendrum,0.65,0.82,0.57,0.59,NA,NA,0.1179,seed set
Erica,Erica coccinea,Erica abietina,no,no,NA,,,,,NA,NA,0.85,seed set
Erica,Erica curviflora,Erica plukenetii,no,no,NA,,,,,NA,NA,0.49,seed set
Erica,Erica plukenetii,Erica coccinea,no,no,Erica,,,,,NA,NA,0.78,seed set
Erythranthe,Erythranthe caespitosa,Erythranthe minor,no,no,Erythranthe01,0.95,0.92,0.96,0.84,NA,NA,0.0191,seed number per fruit
Erythranthe,Erythranthe caespitosa,Erythranthe tilingii,no,no,NA,0.95,0.91,0.2,0.91,NA,NA,0.2525,seed number per fruit
Erythranthe,Erythranthe decora,Erythranthe guttata,no,no,Erythranthe02,181.8,211,153,139.4,NA,NA,0.1465,seed set
Erythranthe,Erythranthe guttata,Erythranthe nasuta,yes1,yes,NA,NA,NA,NA,NA,0.054,0.491,0.455,pollen competition
Erythranthe,Erythranthe guttata,Erythranthe nudata,no,no,NA,84,77.3,0,0,NA,NA,1,seed set
Erythranthe,Erythranthe guttata,Erythranthe nasuta,yes1,no,NA,NA,NA,NA,NA,0.138,0.545,0.317,pollen competition
Erythranthe,Erythranthe lutea,Erythranthe cuprea,no,no,Erythranthe03,169,55,98,52,NA,NA,0.1979,seed number per fruit
Erythranthe,Erythranthe minor,Erythranthe tilingii,no,no,NA,0.92,0.91,0.01,0.76,NA,NA,0.4077,seed number per fruit
Erythranthe,Erythranthe verbenacea,Erythranthe lewisii,yes2,yes,Erythranthe04,2624,1426,1342,848,NA,NA,0.2981,seed number per fruit
Erythranthe,Erythranthe verbenacea,Erythranthe lewisii,yes2,no,Erythranthe04,NA,NA,NA,NA,0.056,0.5,0.444,pollen competition
Eucalyptus,Eucalyptus archeri,Eucalyptus nitens,no,no,NA,4.1,NA,0.4,NA,NA,NA,0.8222,seed set
Eucalyptus,Eucalyptus barberi,Eucalyptus nitens,no,no,NA,3.8,NA,5.1,NA,NA,NA,-0.1461,seed set
Eucalyptus,Eucalyptus cordata,Eucalyptus nitens,no,no,NA,1.2,NA,0,NA,NA,NA,1,seed set
Eucalyptus,Eucalyptus dalrympleana,Eucalyptus nitens,no,no,NA,0.4,NA,0.2,NA,NA,NA,0.3333,seed set
Eucalyptus,Eucalyptus globulus,Eucalyptus nitens,no,no,Eucalyptus,23.7,9,0,5.4,NA,NA,0.7165,seed set
Eucalyptus,Eucalyptus gunnii,Eucalyptus nitens,no,no,NA,6.3,NA,1.1,NA,NA,NA,0.7027,seed set
Eucalyptus,Eucalyptus morrisbyi,Eucalyptus nitens,no,no,NA,9.2,NA,6.9,NA,NA,NA,0.1429,seed set
Eucalyptus,Eucalyptus ovata,Eucalyptus globulus,no,no,NA,4.8,8.4,5.4,NA,NA,NA,0.1,seed number per fruit
Eucalyptus,Eucalyptus ovata,Eucalyptus nitens,no,no,NA,0.7,NA,0.1,NA,NA,NA,0.75,seed set
Eucalyptus,Eucalyptus urnigera,Eucalyptus nitens,no,no,NA,3.3,NA,0,NA,NA,NA,1,seed set
Eucalyptus,Eucalyptus vernicosa,Eucalyptus nitens,no,no,NA,0.4,NA,0,NA,NA,NA,1,seed set
Eucalyptus,Eucalyptus viminalis,Eucalyptus nitens,no,no,NA,0.5,NA,0.3,NA,NA,NA,0.25,seed set
Gymnadenia,Gymnadenia conopsea,Gymnadenia odoratissima,no,no,Gymnadenia,0.8612706,0.90631833,0.77793222,0.78238496,NA,NA,0.0623,seed set
Habenaria,Habenaria davidii,Habenaria fordii,no,no,NA,67.48,60.85,0,0,NA,NA,1,seed set
Habenaria,Habenaria davidii,Habenaria delavayi,no,no,NA,0.81,0.69,0,0,NA,NA,1,seed set
Habenaria,Habenaria limprichtii,Habenaria davidii,no,no,Habenaria,0.77,0.81,0.68,0.79,NA,NA,0.0361,seed set
Habenaria,Habenaria limprichtii,Habenaria delavayi,no,no,NA,0.77,0.69,0,0,NA,NA,1,seed set
Helianthus,Helianthus grosseserratus,Helianthus mollis,no,no,NA,NA,NA,NA,NA,0,NA,1,pollen competition
Helianthus,Helianthus mollis,Helianthus occidentalis,no,no,Helianthus02,NA,NA,NA,NA,0.2,NA,0.6,pollen competition
Helianthus,Helianthus petiolaris,Helianthus annuus,yes2,yes,Helianthus01,87.2,86.85,89.05,88.8,NA,NA,-0.0108,seed set
Helianthus,Helianthus petiolaris,Helianthus annuus,yes2,no,Helianthus01,NA,NA,NA,NA,0.004,0.029,0.967,pollen competition
Hemerocallis,Hemerocallis fulva,Hemerocallis citrina,no,no,Hemerocallis,0.24,0.21,0.11,0.22,NA,NA,0.1538,seed set
Hibiscus,Hibiscus moscheutos,Hibiscus laevis,yes2,yes,Hibiscus,109,64,70,50,NA,NA,0.1809,seed number per fruit
Hibiscus,Hibiscus moscheutos,Hibiscus laevis,yes2,no,Hibiscus,NA,NA,NA,NA,0.08,0.074,0.846,pollen competition
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum canadense,no,no,NA,89,70,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum capitatum,no,no,NA,89,78.666666,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum fendleri,no,no,NA,89,71,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum macrophyllum,no,no,NA,89,42,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum occidentale,no,no,NA,89,32,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum tenuipes,no,no,NA,89,66,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum appendiculatum,Hydrophyllum virginianum,no,no,NA,89,61,0,0,NA,NA,1,fruit set
Hydrophyllum,Hydrophyllum canadense,Hydrophyllum virginianum,no,no,Hydrophyllum,70,61,0,0,NA,NA,1,fruit set
